linkedin_id,job_title,contract,mode,city,country,company,sector,job_posting_title,description,linkedin_skills
3629542706,Data Analyst,Full-time,On-site,Oldenburg,Germany,hanfried Personaldienstleistungen GmbH,Staffing & Recruiting,Data Analyst Finance (m/w/d) in Direktvermittlung,"Personalberatung, -überlassung oder -vermittlung – hanfried Personaldienstleistungen steht für Kompetenz und Leidenschaft in den unterschiedlichen Bereichen des Personalmanagements. Wir unterstützen seit vielen Jahren erfolgreich zahlreiche Unternehmen aus den verschiedensten Branchen.

Für unseren international tätigen Kunden aus der Finanzbranche suchen wir in Direktvermittlungam Standort Oldenburg einen Data Analyst Finance (m/w/d).

Ihre Aufgaben

Weiterentwicklung von technischen Systemen, Datenstrukturen, Schnittstellen und Prozessen im Bereich Finanzen
Analysieren und Umsetzen neuer Anforderungen aus gesetzlichen und internen Entwicklungen
Ausarbeiten von Optimierungsmöglichkeiten des Reportingprozesses sowie Konzeptionieren notwendiger Anpassungen
Bearbeiten fachlicher Fragestellungen aus dem Bereich des regulatorischen Reportings und Mitwirkung (bei Bedarf) an der Berichtserstellung
Koordinieren von Fachaufgaben und anderen übergreifende Vorgängen sowie der Einsatz als Referent (m/w/d) im Team Meldewesen
Ansprechpartner für Wirtschaftsprüfer und für interne Abteilungen

Ihr Profil

Abgeschlossenes Studium der (Wirtschafts-)Mathematik, (Wirtschafts-)Informatik, Physik oder Wirtschaftswissenschaften
Erste Praxiskenntnisse von Finanzinstrumenten, idealerweise der Bewertungsprozesse
Gutes Verständnis von Investmentprozessen, darunter Datenverarbeitungsprozessen
Idealerweise Programmierkenntnisse, bevorzugt in SQL, Visual Basic, Makros

Was Sie Erwartet

Angenehme und kollegiale Teamatmosphäre
Sehr gute Entwicklungsperspektiven
Attraktives Vergütungspaket
Möglichkeit zu Home Office (nach Absprache)

Wir freuen uns auf Ihre Bewerbungsunterlagen per E-Mail an MalteSchweer@hanfried.com.

Ihr Ansprechpartner für diese Position ist Herr Malte Schweer. Noch Fragen offen? Dann zögern Sie nicht und rufen Sie uns an unter: 0441 777 01 722.","Visual Basic, SQL, Data Visualization, Data Analytics, Databases, Relational Databases, Analytical Skills, Statistics, Data Modeling, and Extract, Transform, Load (ETL)"
3570731003,Data Specialist,Full-time,Hybrid,Milan,Italy,NTT DATA Italia,Information Technology & Services,Data Driven Transformation Specialist,"NTT DATA, Trusted Global Innovator, è tra i principali player a livello mondiale in ambito IT services. Con più di 151.000 professionisti in oltre 50 Paesi in tutto il mondo, siamo protagonisti e acceleratori della trasformazione digitale offrendo ai nostri clienti soluzioni tecnologiche e innovative progettate su misura.

Il motore di NTTDATA sono le persone, ognuna con la propria unicità, talento ed attitudine. Abbiamo costruito una Smile Working Company in cui la cura, l’ascolto delle persone, il loro benessere e sviluppo delle competenze sono la nostra priorità. Abbiamo creato spazi di lavoro che favoriscono il senso di comunità e lo scambio costruttivo di esperienze. Guardiamo al nostro domani con la stessa passione di ieri e abbiamo bisogno anche del tuo talento!

Il Candidato sarà inserito nella Business Consulting all'interno della Practice ""Data Driven Transformation"" e si occuperà della realizzazione di progetti innovativi per la valorizzazione del patrimonio informativo a supporto dell'ottimizzazione dei processi aziendali e nella definizione e implementazione di roadmap di trasformazione. L'approccio basato sulla conoscenza e utilizzo di ambienti Big Data, Data platform e Data Analysis consentiranno di rendere più efficaci le azioni di business attraverso il disegno e la progettazione di servizi a valore aggiunto direttamente posizionabili sul mercato

Le Principali Responsabilità Saranno Quelle Di

lavorare su progetti consulenziali in ambito Data Strategy per grandi clienti in Italia e/o all’estero, con interlocutori sia Business che IT
contribuire alla definizione di programmi di trasformazione data driven, con particolare attenzione a tematiche di Data Governance e Data Management
supportare il business development all'interno della Practice per la creazione di offering innovativo basato sulla Data Valorization e Monetization

Location: Torino, Milano, Bologna, Roma, Napoli

Laurea specialistica in materie STEM preferibilmente Ingegneria Informatica, Data Science, Matematica e Statistica;
Esperienza di almeno 2 anni in società di consulenza su progetti di Data Strategy quali:
Data Governance e Data Management e in particolare:

Data Modeling & Design;

Data visualization & business data analysis;
Definizione di percorsi organici di trasformazione Data Driven, definendo strategie, modelli organizzativi, ruoli e roadmap;
Data Quality;
Business Glossary & Data Catalog;
Data Architecture;
Data integration.
Ottime capacità analitiche e approccio proattivo alla risoluzione dei problemi;
Forte propensione al raggiungimento degli obiettivi;
Capacità di presidio del cliente e individuazione di nuove opportunità di business;
Capacità comunicative, motivazione, partecipazione ed entusiasmo;
Ottima conoscenza della lingua inglese;
Disponibilità a trasferte anche continuative in Italia e all'estero.","Data Governance, Data Analytics, Analytics, Data Modeling, Data Quality, Data Strategies, Data Science, Data Visualization, Data Analysis, and Data Management"
3587767744,Data Analyst,Full-time,Hybrid,Prague,Czechia,Aon,Financial Services,Junior Data Analyst,"Life is full of risks, from unexpected hurricanes to earthquakes, terrorism to cybercrime, always ending up with financial impacts. They can't be controlled but can be managed. Join Aon to help our clients manage these risks in the world of reinsurance. Currently we are looking for a Junior Data Analyst to work in our analytical hub for CEE (Central and Eastern Europe) and MENA (Middle-East North Africa) based in Prague (Czech Republic).

What The Day Will Look Like

Proactively connecting with colleagues across the region to understand and validate the data
Producing data analysis and reports for internal and external clients
Performing technical analysis and getting an innovative insight into insurance/reinsurance companies, their portfolios and reinsurance contracts
Building and maintaining dashboards and analyses using data visualisation tools
Participating to the united effort to improve data management

Skills And Experience That Will Lead To Success

Bachelor's degree in the fields of IT / Mathematics / Statistics / Economics
Fluency in English
Computer literate including knowledge of Microsoft Excel and if possible Tableau
Communicative and open to new challenges
Knowledge of the insurance or reinsurance industry appreciated

How This Opportunity Is Different

This is an exciting and varied role in the very international reinsurance industry. You will be provided with training to the world of reinsurance and our analytical methods, including Tableau. It is a superb opportunity to work for us, a global leader with a large data access. Competitive salary and attractive compensation package awaits you, including pension scheme contributions, language courses and high quality working conditions in our modern offices in the city center of Prague.

How We Support Our Colleagues

In addition to our comprehensive benefits package, we encourage a diverse workforce. Plus, our agile, inclusive environment allows you to manage your wellbeing and work/life balance, ensuring you can be your best self at Aon. Furthermore, all colleagues enjoy two “Global Wellbeing Days” each year, encouraging you to take time to focus on yourself. We offer a variety of working style solutions, but we also recognize that flexibility goes beyond just the place of work... and we are all for it. We call this Smart Working!

Our continuous learning culture inspires and equips you to learn, share and grow, helping you achieve your fullest potential. As a result, at Aon, you are more connected, more relevant, and more valued.

Aon values an innovative, diverse workplace where all colleagues feel empowered to be their authentic selves. Aon is proud to be an equal opportunity workplace.

Aon provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, veteran, marital, domestic partner status, or other legally protected status. Aon is committed to a diverse workforce and is an affirmative action employer.

2526106","Data Visualization, Data Analytics, Visualization, Communication, Computer Literacy, Dashboards, Data Analysis, Data Science, Statistics, and Mathematics"
3625424422,Financial Analyst,Full-time,On-site,Madrid,Spain,BNP Paribas CIB,Financial Services,Financial Analyst CIB BL STEERING | BNP Paribas CIB,"BNP Paribas EMEA Finance employs 500 employees, of which more than 325 are based in Madrid. We manage more than 250 BNP Paribas entities from all over Europe, covering +60% of Group’s balance sheet and all group’s banking activities (Corporate & Investment Banking, Retail Banking, Personal Finance and other financial services activities…).

Our mission is to measure, control and explain all the financial indicators required to monitor accounting, tax, regulatory, liquidity, credit risk reporting and management result activities.

Context And Team Description

Within CIB Business Line Steering, BP2S (Securities Services) Performance Management team act as a finance business partner for Finance Head Office of BNP Paribas (CIB perimeter).

The team is:

Supporting Finance Head Office Division’s and Business line’s strategic steering.
Providing performance management reporting and indicator for all financial KPIS (P&L, Balance Sheet, Liquidity, Capital Cost of Risk) to support the Divisions and their business Lines analyzing and steering their performance.
BP2S Performance Management is in charge of Actual’s analysis and Projection reports by Business lines.
Ensuring the correction implementation of Group instruction.
Animating Client profitability reporting and cost monitoring analysis.

Infinity hub aims at:

Mutualizing financial, management accounting and liquidity reporting production, both at Central and at Regional level, in order to rationalize finance production processes and optimize operational efficiency within a centralized processing center.
Reinforce the control set-up, both at Central and Regional level, and reduce the operational risk.
Aligning tools, norms & methodologies, processes and deployment of standard CIB Finance applications/systems among the CIB Finance community.
Promoting process efficiency, supporting innovation and developing digitalization, as well as implementing robotics initiatives.
Strengthening coordination & (2-way) communication among the central and local team community, promoting best practices and knowledge sharing.
Creating international communities and synergies with other Finance platforms.

REPORT TO

The position is within BP2S Performance Management Division for BP2S Finance Head Office located in Madrid, and under the Head of BP2S Performance Management’s supervision.

MISSION AND OBJECTIVES

The team member within BP2S Performance Management is primarily responsible for providing oversight and control over day-to-day transaction operations and activities arising from regional production and dialogue with the stakeholders.

Provide regular reports, added-value analysis, comments and create a fluent dialogue with BP2S PM Head Office for actual PNL as well as participate in the preparation of Business plans such as Forecast and Budget.

MAIN RESPONSABILITIES:

He/she is responsible for the day-to-day operations generated though fluent dialogue:

Implement measures to standardize and strengthen interaction between Regional/Head office and Infinity Hub stakeholders
Preparation and animation of any associated committees
Coordination with Risk, Regional Finance, ALMT, Performance Managers (regions, central) and project team based in Paris
Elaborate reliable and quality indicators for expenses & revenues regarding Flash and Actual process
Ensures data quality and contributes to the enhancements
Contribute to Ad hoc analysis, new requests improving processes and providing value added commentary
Contribution to the monitoring and implementation of any regulatory requesting affecting the processes

Ensure delivery of on time and consistent quality Financial Reporting output, and actively collaborate day to day in production and budgetary process:

Animator of stakeholders, Bring added value interacting and presenting new proposal
Constructive challenge of the figures and comments
Help other team to evolve in the area
Contribute to the understanding of ad-hoc and transversals investigations
Enhance the content and automation of the standard management reports
Listen to client needs and be a solution provider to enhance their satisfaction

Supervise and ensure timely resolution for all issues arising for BP2S Head Office related matters arising from:

Accounting Control
Local Finances
Finance Accounting and Reporting BP2S
Synthesis and financial accounting or reporting teams

Ensure good coordination and that Business need are addressed:

Build a constant communication with business and Finance Clients, ensuring a clear constructive and timely coordination of actions and proposed solutions.

Control

Respect internal deadline (reporting calendar) and external deadline (official closings)
Observe the bank’s policies and procedures
Show proactivity by updating and following all the topics recovered in Remediation Plans and share Best Practices

Projects, Systems Support, Operational Process Improvements

Oversee the tools supporting the processing systems upstream/downstream to the platform that are under the team’s responsibility (internal tools)
Implement highly automated processes
Participate in the development testing and implementation of new systems:

Define business requirements
User acceptance tests
Training of Users
Trouble shooting after deployment
Requirements

Training and occupational experience

Education background: Business School or University graduate
Minimum 3 years of financial working experience preferably within a corporate Banking Company: financial control, financial planning and analysis, management reporting, audit (internal/external), risk management positions
Fluent English speaking is mandatory; as the job will be in this language

Hard skills

IT skills: capacity to use tools as Excel in a proficient manner and other Business Intelligence tools as, Tableau or Power BI, as a plus
Knowledge of P&l Performance Indicators is a plus
Knowledge on ERP tools is a plus

Skills and behaviors

Problem-solving and agile mindset
Effective analytical, organizational skills
Rigorous and flexible mindset
Strong sense of organization, ability to prioritize tasks and meet deadlines
Strong communication skills, both written and verbal
Strong preference on team work organization, being a team player
Proactivity on proposing and implementing agreed improvements, share knowledge and best practices
Ability to work in a changing and moving multicultural environment

Commitment to Diversity and Inclusion

BNP Paribas Group in Spain is an Equal Opportunity Employer and prides itself on providing equal employment opportunities to all job seekers. We are actively committed to ensuring that no person is discriminated against on the basis on age, disability, gender reassignment, marital status, pregnancy and maternity/paternity, race, religion or belief, sex or sexual orientation. Equity and diversity are at the heart of our recruitment policy because we believe they foster creativity and efficiency, which in turn increases performance and productivity. We strive to reflect the society in which we live, maintaining the image of our clients.

If you think that your profile can fit and you like the way we work, do not hesitate submit your application. We are waiting!

Primary Location

ES-Community of Madrid

Job Type

Standard / Permanent

Job

MISCELLANEOUS

Experience Level

At least 3 years

Schedule

Full-time

Entity

BNP Paribas CIB","Ad Hoc Analysis, Business Requirements, Financial Accounting, Management Accounting, Expenses, Business Planning, Shooting Video, Development Testing, Finance, and Group Instruction"
3611524083,Analytics Specialist,Full-time,On-site,Lisbon,Portugal,Axians Portugal,Information Technology & Services,Data Analytics,"At AXIANS we seek the right talent, for the right place. We work daily to involve our people in a collaborative and inclusive environment, with a culture of proximity. Also, part of our culture is our concern for the environment and the implementation of social and environmental corporate responsibility actions.

This could be your opportunity to join a project of international scope, with a client that needs you to meet the challenges of digital transformation.

💻 THE ROLE

We are looking for a #TechTalent to work as a Data Analytics for an international project in the financial area.

💡 What We're Looking For

Over 5 years' experience at a similar position;
Experience with GIT (preferably bitbucket);
Professional experience with Python (mainly Pandas);
Optimization of Data processes (efficient queries and memory management practices);
Experience with Tableau/PowerBI or other visualization tools, CI/CD;
Knowledge and interest in financial markets;
Oral and written fluency in English;
Ability to lead and manage teams and resources;
Aptitude for problem solving and creating solutions;
Resilient and pressure-resistant spirit;
Enjoyment of teamwork;
Analytical and technical skills;
Rigorous attitude and attention to detail;
Ease of communication with the entire team;
Compliance with deadlines.

⭐ What You Can Expect From Us

Stable professional career

Working with Axians projects becomes an asset to those of us who want to offer stability through a secure career.

Prospects for career advancement

You can access training and new certifications that will further elevate your skills. The 360° evaluation from managers and peers will also allow you to evolve.

Work Life Balance

By collaborating with Axians, you will be able to reconcile work and family requirements without neglecting either area.

Attractive, Evolving Compensation

When working with Axians, you will have access to performance bonuses in addition to an attractive salary pack (base salary + benefits). You are also entitled to health insurance and free psychology consultations.

Do you identify with this position?

If you think this position is the right fit for you and you have the #TechTalent we are looking for, send us your resume, preferably in English and in Europass format, to recrutamento.axianspt@axians.com with the subject “DATANALYST/CS/DB”.

Learn more about Axians","Pandas (Software), Communication, Data Analytics, Account Reconciliation, Attention to Detail, Analytical Skills, Tableau, Analytics, Problem Solving, and Data Science"
3606897656,Data Analyst,Full-time,On-site,Paris,France,ELSAN,Hospital & Health Care,Data analyst - H/F,"ELSAN, groupe leader d’hospitalisation privée en France, est aujourd’hui un acteur de référence de l’offre de soins. Présent dans toutes les régions de l’hexagone, les 137 établissements du groupe soignent plus de 2,2 millions de patients par an.

Fort d’une politique d’investissement ambitieuse, ELSAN structure une offre médicale qui répond aux attentes des patients et des professionnels de santé en apportant des solutions technologiques et organisationnelles innovantes, encourageant ainsi une dynamique d’excellence médicale.

Contexte

Au sein de la Direction Générale des Opérations, le Pilotage de la Performance intègre le Pôle Data Analytics en charge de la conception, fiabilisation et animation des tableaux de bord de pilotage des établissements et de la direction générale (RH, services de soins, achats médicaux, recettes annexes, finance…).

Missions

Nous recherchons un.e Data analyst H/Fdont les missions seront les suivantes :

Développer des rapports Power BI ;
Réaliser le support pour les utilisateurs ;
Maintien en condition opérationnelle des outils existants (reportings de performance et outil d’élaboration budgétaire) ;
Amélioration en continu de la qualité de la donnée et des outils de pilotage ;
Recueillir, analyser, formaliser et valider les besoins fonctionnels ;
Elaborer, gérer et réaliser le plan de tests technique et des scénarios de reprise de données ;
Rédiger et maintenir la documentation technique et la documentation utilisateur ;
Développer des flux de données avec l'ETL SSIS ;
Développer des cubes avec le module Microsoft SSAS (Multidimensionnels / Tabulaires);
Développer des procédures stockées et des scripts (SQL, MDX et DAX) nécessaires pour les extractions métiers ou pour des rapports de restitution ;
Travailler en étroite collaboration avec le contrôle de gestion opérationnel, les différentes directions métier du groupe, les interlocuteurs en établissements et les prestataires externes.

Autres

Poste en CDI à pourvoir dès que possible
Statut cadre (Syntec)
Localisation : Paris 8ème
Flex office : 2 jours télétravail/ 3 jours bureau
Mutuelle 100% prise en charge par l'employeur
Tickets restaurant 13€ (50/50)
Remboursement transport (50%)
Accès à l'offre de sport Gymlib
Accès aux offre du comité d'entreprise (CSE)

Profil

Issu(e) d'un Bac+3 à Bac+5 avec au moins 2 ans d'expérience sur le même type de poste;
Maitrise Power BI (DAX et M) indispensable ;
Maitrise des méthodes de conception des bases de données BI (schéma en étoile, schéma en flocon...) ;
Bonne connaissance de la méthodologie et des outils de tests fonctionnels ;
Connaissance du RGPD
Esprit d’analyse et de synthèse pour proposer rapidement des solutions aux problèmes rencontrés ;
Esprit critique sur les besoins exprimés ;
Prise de recul et grande rigueur sur les travaux réalisés ;
Intérêt pour le secteur de la santé ;
Curiosité et compréhension des métiers des fonctions support siège,Nous menons une politique Diversité engagée. Afin de garantir l'équité de traitement et le respect de tous, tous nos postes sont ouverts aux personnes en situation de handicap.","DAX, OLAP Cubes, SQL Server Analysis Services (SSAS), Data Analysis, Esprit, SQL Server Integration Services (SSIS), Extract, Transform, Load (ETL), Data Analytics, Data Visualization, and Data Science"
3578427367,Data Analyst,Full-time,On-site,Amsterdam,Netherlands,Finest People,Staffing & Recruiting,Data Analist,"Jouw nieuwe baan- Data Analist

Wil je de kans om met analyse van zeer grote hoeveelheden data grote coperates strategische keuzes te laten maken?
Wil je grote impact maken op organisaties als T-Mobile, KLM, DHL, Douwe Egberts, ING, Xenos en Unicef?
Wil je bij het grootste datahuis van Nederland alle kennis in huis hebben om uit te groeien tot absolute data expert?
Wil je samenwerken en kennis delen met 80+ data specialisten uit alle disciplines (data engineering, technical web analytics, data science en CX)?
Wil je daar bovenop een onbeperkt opleidingsbudget en volop doorgroeimogelijkheden?

Komt er uit de analyse van deze vragen 5x een JA? Lees dan door, dit is voor jou!!

Jouw nieuwe werkgever- Grootste Datahuis van Nederland | Werk samen met 80+ dataspecialisten (data -engineers, -scientists en -analysten)

Deze werkgever is een van de grootste datahuizenvan Nederland en gaat als een trein. Opgericht in 2016 en in een korte tijd zijn ze uitgegroeid tot een organisatie met 80+ specialistenuit verschillende disciplines verdeeld over twee vestigingen. Dat dit data bureau hard groeit en het succes dat hierbij komt kijken is te zien aan de nominaties en gewonnen awardsdie ze de afgelopen jaren hebben binnengesleept. Voor grote corporates als KLM, ING en Xenos zijn zij de aangewezen partij om de grote hoeveelheden datadie verzameld worden verder uit te bouwen, analyseren en de business ermee te adviseren.

Naast de mogelijkheid om grote A-merkenop basis van jouw bevindingen te adviseren deel je jouw kennis, expertise en ervaringen ook met je teamgenoten. Waar je bij de meeste partijen als enige analist vaak alles zelf moet uitzoeken krijg je bij je nieuwe werkgever genoeg data specialisten om je heen om goed te kunnen sparren.

Kennis delenis een belangrijk aspect bij dit datahuis en daarom staat je ontwikkeling ook op nummer 1. Met een onbeperkt opleidingsbudget, groot aanbod van trainingen en externe opleidingsmogelijkheden zijn alle ingrediënten in huis om een ultieme data expert te worden!

Jouw nieuwe baan- Data Analist

Als Data Analist ben jij verantwoordelijk voor het visualiseren van de grote hoeveelheden data van verschillende grote organisaties zoals ING, Xenos en Transavia.Jij kunt als geen ander de complexe data vraagstukkenvanuit verschillende disciplines vertalen en zo adviseren op welke punten er actie ondernomen kan worden. Door jouw rapportagesen perfect ingerichte dashboardshelp jij de klant data-gedreven beslissingen te maken.

Naast de online datazul jij je je ook bezig houden met het analyseren van offline datavan de organisatie waarvoor je werkt. Met Google Analyticsof Adobe Analyticsverzorg jij de datarapportages en met tools zoals Power BI, Tableau of Google Data Studiomaak je de visualisatie in orde. Doordat jij je als expert volledig richt op alle data vraagstukken kan er enorme impact op strategisch gebied gemaakt worden!

Waar je normaal gesproken als data analist op jezelf of BFF Google bent aangewezen is er bij dit datahuis informatie en kennis genoeg. Door een wekelijks terugkom moment van iedere specialist ontstaat er de ultieme gelegenheid om te sparrenen van elkaar te leren. Even genoeg geleerd van elkaar? Dan is er ook genoeg tijd en ruimte voor een tafelvoetbaltoernooi en een lekker koud biertje!

Wat hebben we van je nodig?

Als de nieuwe Data Analistbreng jij het volgende met je mee-

Ervaring met Web Analytics Adobe en Google
HBO/WO werk- en denkniveau
Ervaring met Google Data Studio, Tableau of Power BI
Beheersing van de Nederlandse taal is een must
Een proactieve en leergierige houding
Talent voor tafelvoetbal is een pré
Enthousiasme om in een betrokken team te werken is een must!

Wat krijg je ervoor terug?

Een salaris tot €46K bruto per jaar obv 40 uur
32, 36 of 40-urige werkweek
Volledige mogelijkheid om jezelf te kunnen ontwikkelen
Onbeperkt opleidingsbudget
Werksfeer waar familiegevoel heerst en iedereen zichzelf kan zijn!
NS-Business card of mobiliteitsbudget voor lease auto
Een pensioenregeling
Gezellige vrijdag middag borrels en elk kwartaal een teamuitje
Grote groeimogelijkheden in een mooie werkomgeving!","Visualization, Language Skills, Dutch, Data Reporting, Analytical Skills, Google Data Studio, Web Analytics, Strategy, Advising People, and Analytics"
3601354025,Data Quality Analyst,Full-time,On-site,Mönchengladbach,Germany,Santander Deutschland,Financial Services,Analyst Data Quality (w/m/d),"Country: Germany

What You Will Be Doing

Deine Aufgaben

Überwachung und Optimierung der Datenqualität in unseren Risk-, Finance- und Structural-Systems
Entwicklung, Ausführung und Automatisierung von Testroutinen
Analyse auftretender Fehlstellungen und Erstellung von Maßnahmenplänen zur Fehlerbehebung
Überwachung von Datenbereinigungsmaßnahmen
Übernahme von Testmanagementaufgaben (auch projektbezogen)
Reporting an entsprechende Fachbereiche - Erkennen und Managen von Risiken
Risikokultur leben durch die kontinuierliche Weiterentwicklung und Erhaltung des Verantwortungsbewusstseins im proaktiven Umgang mit Risiken innerhalb der Bank

Dein Profil

Erfolgreich absolviertes Studium im Bereich IT, Mathematik oder Wirtschaftswissenschaften oder eine abgeschlossene kaufmännische Ausbildung mit Erfahrungen in Datenbanken
Grundkenntnisse und erste Erfahrungen in der Programmierung (idealerweise SAS und SQL, gerne auch andere Programmiersprachen wie Python, Java, R)
Strukturierter und analytischer Arbeitsstil
Sicherer Umgang mit dem MS-Office-Paket (insbesondere Excel)
Ausgeprägte IT-Affinität
Gute Englischkenntnisse
Hohes Risikobewusstsein

Unser Angebot

Langfristige Perspektiven: Sicherer Arbeitsplatz in einem wachstumsstarken, internationalen Unternehmen mit spannenden Entwicklungschancen für Fach- und Führungskarrieren
Wertvolle Unterstützung: Großartiger Teamspirit, ausführliches Onboarding und vielfältige Weiterbildungsangebote
Spürbarer Mehrwert: Flexible Arbeitszeit mit der Möglichkeit auf tageweise Mobile Work, mehr als 6 Wochen Jahresurlaub (6 Wochen Urlaub + 2 Bankfeiertage + ½ Tag Geburtstagsfrei) sowie die Möglichkeit auf 25 Tage zusätzlichen, unbezahlten Urlaub pro Jahr
Sichtbare Leistung: Jahressonderzahlung, betriebliche Altersvorsorge im Rahmen einer Entgeltumwandlung, Sonderkonditionen für Bankprodukte, bis zu 40€ vermögenswirksame Leistungen und Eingruppierung in das Vergütungssystem der Unternehmenszentrale gemäß entsprechender Erfüllung der Kriterien
Attraktive Extras: Kindergarten-, Essensgeld-, Gympass- und Jobticketzuschuss sowie jährlicher Gesundheitsgutschein und Corporate Benefits
Faires Umfeld: Möglichkeit zur Teilzeitbeschäftigung, schwerbehinderte Bewerber:innen werden bei gleicher Eignung besonders berücksichtigt

Dein Kontakt

Bei fachspezifischen Fragen wende Dich gerne an: Thomas Fegers

+49 (0) 2161 690-7241

Bei allen anderen Fragen wende Dich gerne an: Anja Deussen

49 (0) 2161 690-8327

Wir freuen uns auf Deine aussagekräftige Bewerbung online.

www.santander-karriere.de","SAS (Software), Data Quality, R (Programming Language), Data Analytics, SQL, Data Management, Analytical Skills, Databases, Problem Solving, and Java"
3621511179,Analyst,Full-time,Hybrid,Dublin,Ireland,permanent tsb,Banking,Blue Team Analyst,"Permanent TSB is one of Ireland's leading retail and SME banks, with an innovative range of products and services powered through an evolving digital landscape, our focus is centred on ensuring we deliver what our customers, colleagues and communities need to be successful.

In line with our growth ambitions, Permanent TSB has embarked on a significant digital transformation programme which will lead to enhanced customer experience, through re-development of the delivery channels and the ongoing evolution of the bank's infrastructure and operations in order to provide cost-effective, secure and resilient services to our customers.

Responsibilities:

Respond to alerts from security tools, with intelligence driven investigative analysis.
Provide first response support by analysing alerts and gathering information about potential incidents or vulnerabilities.
Perform tier three analysis conducting host forensics, network forensics, log analysis and malware analysis to determine the scope and impact of security incidents.
Develop and maintain incident response playbooks and other documentation relative to incident response.

Requirements:

3-5 years' experience in incident response, security operations, SOC or a related field.
Experience with deploying, maintaining or using the following security solutions: SIEM, DLP, IDS/IPS, EDR, Firewalls, Web proxy, Email Gateway.
Strong knowledge of regulatory requirements and industry standards.
Excellent communication and interpersonal skills, with the ability to communicate complex technical concepts to non-technical stakeholders.

This is a Permanent role based in Permanent TSB's Head Office, St Stephens Green, Dublin \ Airport Business Park, Cork \ Work From Home - Republic of Ireland only.

Is this you?

Please apply online on our website or via the apply link of this role. Your application will be sent through to our Talent Acquisition team and they will be in touch regarding your application. We reserve the right to draw up a shortlist for interview. The Bank understands the importance of a consistent and relentless focus on championing diversity and inclusion. We aim to attract, recruit, and retain individuals with diverse backgrounds, skills, competencies and abilities to work collaboratively to enhance the service we provide to all of our customers and the communities we serve.","Incident Response, Log Analysis, Malware Analysis, Proxy Server, DLP, Security Operations, Industry standards, IDS, Regulatory Requirements, and Network Forensics"
3584478309,Business Intelligence Engineer,Full-time,On-site,Varese,Italy,Reverse,Staffing & Recruiting,BI ENGINEER,"Per un rinomato luxury brand italianonoto in tutto il mondo e specializzato nell'alta moda sportiva, siamo alla ricerca di una preziosa figura di BUSINESS INTELLIGENCE ENGINEER

Cerchiamo una figura consolidata sulle soluzioni di BI che guidi l'atterraggio dell'azienda su questo mondo, dando forma, struttura ed evoluzione. Cerchiamo un profilo tecnico, che porti know how, che possa metter in piedi ildata lake.

Ideale una risorsa che presidi end-to-end tutto il processo, dalla raccolta e traduzione dell'esigenza di business alla realizzazione della cruscottistica per visualizzare il dato, con tutto ciò che passa in mezzo (reverse engineering sul dato, ETL normalizzazione del dato, omogeneizzazione)

Stack tecnologico attuale: Qlik Sense, AWS, Power Query, Snowflake

Si richiede conoscenza dei tool di BI, database relazionali, costruzione datalake. Molto apprezzate competenze SQL.

Sede di lavoro: Varese (on site)","Query Writing, Qlik Sense, Data Modeling, Databases, Analytics, Data Warehousing, and Snowflake"
